作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
32653,まなみの幸せ。読み切り成人指定;;;;;まなみのしあわせ;まなみの幸せ。;マナミノシアワセ  マナミノシアワセ まなみのしあわせ,（あ〜る・こが）,,同人誌,0,
32655,まなみの優しさ。読み切り成人指定;;;;;まなみのやさしさ;まなみの優しさ。;マナミノヤサシサ  マナミノヤサシサ まなみのやさしさ,（あ〜る・こが）,,同人誌,0,
32644,水のあふれたプールサイド読み切り成人指定水のあふれたプールサイド;ミズノアフレタプールサイド;;みずのあふれたぷーるさいど  ミズノアフレタプールサイド みずのあふれたぷーるさいど,（あ〜る・こが）,2000年,COMICコーヒーブレイク,0,
84132,南の島からきた座敷童子成人指定南の島から来た座敷童;ミナミノシマカラキタザシキワラシ;;みなみのしまからきたざしきわらし  ミナミノシマカラキタザシキワラシ みなみのしまからきたざしきわらし,（あ〜る・こが）,,,0,
84131,南の島の座敷童子成人指定南の島の座敷童;ミナミノシマノザシキワラシ;;みなみのしまのざしきわらし  ミナミノシマノザシキワラシ みなみのしまのざしきわらし,（あ〜る・こが）,,,0,
32652,屋根の上の子猫たち読み切り成人指定屋根の上の子猫たち;ヤネノウエノコネコタチ;;やねのうえのこねこたち  ヤネノウエノコネコタチ やねのうえのこねこたち,（あ〜る・こが）,1999年,COMICコーヒーブレイク,0,
84125,雪ん娘読み切り成人指定雪の娘  ユキンコ ゆきんこ,（あ〜る・こが）,2013年,コミック・マショウ,0,
32637,夢でいたずら読み切り成人指定;;;;;ゆめでいたずら;ユメデイタズラ;夢でいたずら  ユメデイタズラ ゆめでいたずら,（あ〜る・こが）,2002年,COMIC桃姫,0,
32608,寄り添う雛たち成人指定;;;;よりそうひなたち;ヨリソウヒナタチ;寄り添う雛たち  ヨリソウヒナタチ よりそうひなたち,（あ〜る・こが）,,,0,
32636,YORIMICHI読み切り成人指定;;;;YORIMICHI;よりみち;ヨリミチ  ヨリミチ よりみち,（あ〜る・こが）,2001年,COMIC桃姫,0,
32565,夜のくまさん成人指定;;;;;よるのくまさん;ヨルノクマサン;夜のくまさん  ヨルノクマサン よるのくまさん,（あ〜る・こが）,,,0,
32646,Rubing without Loving読み切り成人指定Rubing without Loving;ラビングウィズアウトラビング;;らびんぐうぃずあうとらびんぐ  ラビングウィズアウトラビング らびんぐうぃずあうとらびんぐ,（あ〜る・こが）,2000年,MANGA ZetuMan絶対満足,0,
32625,りっこうほ成人指定;;;;りっこうほ;リッコウホ  リッコウホ りっこうほ,（あ〜る・こが）,,,0,
作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
88097,レイプの達人成人指定レイプの達人;レイプノタツジン  レイプノタツジン れいぷのたつじん,（東航）,,,0,
作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
26089,Vの口笛Vの口笛,原作（遠崎史朗）[作画：ながやす巧],,,0,
26090,球速0.25秒連載終了球速0.25秒,原作（杉四郎）[作画：眉月はるな],1970年,週刊少年ジャンプ,0,
40728,アルプスの大将連載終了アルプスの大将,原作（遠崎史朗）[作画：手無功],1979年,月刊少年チャレンジ,0,
95334,遠賀川連載終了遠賀川,（遠崎史朗）,1977年,コミック野郎,0,
5222,アストロ球団連載終了;;;;あすとろきゅうだん;アストロキュウダン;アストロ球団  アストロキュウダン あすとろきゅうだん,原作（遠崎史朗）[作画：中島徳博],1972年,週刊少年ジャンプ,4.4,5件
43455,男牙連載終了男牙;オトコキバ;;おとこきば  オトコキバ おとこきば,（遠崎史朗）,1978年,リイドコミック,0,
18267,海峡ものがたり;;;;かいきょうものがたり;カイキョウモノガタリ;海峡ものがたり  カイキョウモノガタリ かいきょうものがたり,原作（ジョー指月）[作画：石川サブロウ],,MANGAオールマン,0,
44293,ぎゃあなか平吉連載終了ぎゃあなか平吉;ギャアナカヘイキチ;;ぎゃあなかへいきち  ギャアナカヘイキチ ぎゃあなかへいきち,原作（遠崎史朗）[作画：村井一忠],1977年,月刊少年チャンピオン,0,
4557,K;;;;;K;けー;ケー  ケー けー,原作（遠崎史朗）[作画：谷口ジロー],,,5,1件
